ply,to_play,k,tree_children,missing,expected_missing_if_only_topm,matches_topm_rule,missing_moves
0,B,4,4,0,0,True,
1,W,3,3,0,0,True,
2,B,5,5,0,0,True,
3,W,4,4,0,0,True,
4,B,5,5,0,0,True,
5,W,11,11,0,0,True,
6,B,9,9,0,0,True,
7,W,9,9,0,0,True,
8,B,9,9,0,0,True,
9,W,8,8,0,0,True,
10,B,9,9,0,0,True,
11,W,10,10,0,0,True,
12,B,10,10,0,0,True,
13,W,11,11,0,0,True,
14,B,14,14,0,0,True,
15,W,13,13,0,0,True,
16,B,13,13,0,0,True,
17,W,15,15,0,0,True,
18,B,15,15,0,0,True,
19,W,15,15,0,0,True,
20,B,13,13,0,0,True,
21,W,15,15,0,0,True,
22,B,11,11,0,0,True,
23,W,14,14,0,0,True,
24,B,14,14,0,0,True,
25,W,13,13,0,0,True,
26,B,13,13,0,0,True,
27,W,14,14,0,0,True,
28,B,11,11,0,0,True,
29,W,15,15,0,0,True,
30,B,10,10,0,0,True,
31,W,14,14,0,0,True,
32,B,7,7,0,0,True,
33,W,15,15,0,0,True,
34,B,7,7,0,0,True,
35,W,14,14,0,0,True,
36,B,6,6,0,0,True,
37,W,14,14,0,0,True,
38,B,5,5,0,0,True,
39,W,11,11,0,0,True,
40,B,7,7,0,0,True,
41,W,13,13,0,0,True,
42,B,6,6,0,0,True,
43,W,12,12,0,0,True,
44,B,5,5,0,0,True,
45,W,10,10,0,0,True,
46,B,4,4,0,0,True,
47,W,10,10,0,0,True,
48,B,1,1,0,0,True,
49,W,6,6,0,0,True,
50,B,1,1,0,0,True,
51,W,7,7,0,0,True,
52,B,0,1,0,0,True,
53,W,6,6,0,0,True,
54,B,0,1,0,0,True,
55,W,6,6,0,0,True,
56,B,0,1,0,0,True,
57,W,5,5,0,0,True,
58,B,1,1,0,0,True,
59,W,4,4,0,0,True,
60,B,1,1,0,0,True,
61,W,2,2,0,0,True,
62,B,1,1,0,0,True,
63,W,0,1,0,0,True,
